"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13757","Employee User create successfully!!","Orange HRM Project","Wed Aug 27 12:32:01 BDT 2025","passed","Wed Aug 27 12:32:15 BDT 2025","TestRunner.PIMTest","PIM Module","TestRunner.PIMTest","createEmployee"
"","9885","Employee Login Successfully!!","Orange HRM Project","Wed Aug 27 12:32:17 BDT 2025","passed","Wed Aug 27 12:32:27 BDT 2025","TestRunner.LoginTestWithJson","Login Module Smoke","TestRunner.LoginTestWithJson","doLoginWithValidCred"
"","10910","Admin Login Successfully!!","Orange HRM Project","Wed Aug 27 12:31:50 BDT 2025","passed","Wed Aug 27 12:32:01 BDT 2025","TestRunner.PIMTest","PIM Module","TestRunner.PIMTest","doLoginWithValidCred"
